Position_X,Position_Y,Position_Z,Unit,Category,Collection,TimePointID,TrackID,ID
124.38,6.25,13.34,um,Surface,Position,78,2000000002,3952
123.14,6.47,13.37,um,Surface,Position,79,2000000002,4008
122.59,6.54,13.17,um,Surface,Position,80,2000000002,4066
122.72,7.25,12.49,um,Surface,Position,81,2000000002,4122
122.35,7.6,12.13,um,Surface,Position,82,2000000002,4178
121.8,7.86,11.67,um,Surface,Position,83,2000000002,4235
121.56,8.44,11.6,um,Surface,Position,84,2000000002,4291
121.51,8.97,11.57,um,Surface,Position,85,2000000002,4347
121.37,9.55,11.45,um,Surface,Position,86,2000000002,4402
120.92,9.42,10.86,um,Surface,Position,87,2000000002,4457
120.01,9.74,10.47,um,Surface,Position,88,2000000002,4512
119.47,10.17,10.06,um,Surface,Position,89,2000000002,4568
119.4,10.84,10.44,um,Surface,Position,90,2000000002,4623
119.31,11.66,10.93,um,Surface,Position,91,2000000002,4677
119,12.71,11.55,um,Surface,Position,92,2000000002,4733
118.57,13.04,12.36,um,Surface,Position,93,2000000002,4790
117.91,13.26,13.86,um,Surface,Position,94,2000000002,4847
118.35,13.98,14.88,um,Surface,Position,95,2000000002,4903
119.19,15.15,15.22,um,Surface,Position,96,2000000002,4958
118.81,15.79,15.59,um,Surface,Position,97,2000000002,5011
118.28,16.16,15.97,um,Surface,Position,98,2000000002,5065
119.09,16.51,16.32,um,Surface,Position,99,2000000002,5121
118.92,16.93,16.27,um,Surface,Position,100,2000000002,5177
118.66,17.65,16.69,um,Surface,Position,101,2000000002,5232
118.6,18.2,17.26,um,Surface,Position,102,2000000002,5288
119.1,18.08,17.53,um,Surface,Position,103,2000000002,5341
119.67,17.93,17.71,um,Surface,Position,104,2000000002,5395
120.17,18.41,18.79,um,Surface,Position,105,2000000002,5447
120.06,19.06,20.08,um,Surface,Position,106,2000000002,5498
119.88,19.31,20.39,um,Surface,Position,107,2000000002,5549
119.22,18.98,21.18,um,Surface,Position,108,2000000002,5599
118.67,18.75,22.41,um,Surface,Position,109,2000000002,5651
118.45,18.86,22.49,um,Surface,Position,110,2000000002,5699
118.96,18.86,22.69,um,Surface,Position,111,2000000002,5750
119.45,18.95,23.01,um,Surface,Position,112,2000000002,5799
119.43,19.3,23.12,um,Surface,Position,113,2000000002,5848
119.48,19.47,23.47,um,Surface,Position,114,2000000002,5909
119.3,19.8,24.14,um,Surface,Position,115,2000000002,5959
119.21,20.76,24.59,um,Surface,Position,116,2000000002,6007
119.54,21.27,24.79,um,Surface,Position,117,2000000002,6055
120.01,21.52,24.79,um,Surface,Position,118,2000000002,6100
120.49,21.75,25.36,um,Surface,Position,119,2000000002,6143
120.75,22.42,24.75,um,Surface,Position,120,2000000002,6186
121.1,23,24.41,um,Surface,Position,121,2000000002,6227
121.83,22.91,23.8,um,Surface,Position,122,2000000002,6262
121.93,22.94,22.95,um,Surface,Position,123,2000000002,6304
121.46,22.51,22.7,um,Surface,Position,124,2000000002,6344
121.27,22.33,20.97,um,Surface,Position,125,2000000002,6383
121.27,23.03,20.2,um,Surface,Position,126,2000000002,6421
121.76,24.05,19.67,um,Surface,Position,127,2000000002,6457
121.82,24.55,18.9,um,Surface,Position,128,2000000002,6491
62.64,67.47,3.73,um,Surface,Position,1,2000000003,3
63.84,67.73,4.58,um,Surface,Position,2,2000000003,39
63.68,67.22,5.54,um,Surface,Position,3,2000000003,76
63.74,66.78,6.88,um,Surface,Position,4,2000000003,113
62.81,66.08,8.25,um,Surface,Position,5,2000000003,154
62.34,65.5,9.97,um,Surface,Position,6,2000000003,195
60.08,64.3,11.7,um,Surface,Position,7,2000000003,236
59.27,63.72,13.11,um,Surface,Position,8,2000000003,277
58.03,63.67,13.73,um,Surface,Position,9,2000000003,318
57.05,63.99,13.85,um,Surface,Position,10,2000000003,360
54.76,63.65,13.33,um,Surface,Position,11,2000000003,403
52.35,62.87,13.37,um,Surface,Position,12,2000000003,444
50.09,61.97,14.63,um,Surface,Position,13,2000000003,487
48.07,61.03,15.38,um,Surface,Position,14,2000000003,540
46.46,60.33,16.41,um,Surface,Position,15,2000000003,585
45.39,59.41,16.62,um,Surface,Position,16,2000000003,631
43.99,58.61,16.94,um,Surface,Position,17,2000000003,676
42.72,57.22,17.56,um,Surface,Position,18,2000000003,721
41.84,54.83,18.1,um,Surface,Position,19,2000000003,767
40,52.67,18.11,um,Surface,Position,20,2000000003,814
38.48,49.77,17.75,um,Surface,Position,21,2000000003,862
36.56,46.15,18.06,um,Surface,Position,22,2000000003,907
35.6,43.78,19.64,um,Surface,Position,23,2000000003,959
36.12,42.74,21.28,um,Surface,Position,24,2000000003,1013
36.99,42.78,21.42,um,Surface,Position,25,2000000003,1066
37.99,42.17,22.43,um,Surface,Position,26,2000000003,1119
38.46,40.85,22.82,um,Surface,Position,27,2000000003,1172
39.81,39.67,23.34,um,Surface,Position,28,2000000003,1224
41.8,38.48,23.05,um,Surface,Position,29,2000000003,1276
43.24,36.76,22.32,um,Surface,Position,30,2000000003,1332
43.51,36.12,21.98,um,Surface,Position,31,2000000003,1388
43.47,36.53,22.93,um,Surface,Position,32,2000000003,1445
44.61,38.11,23.02,um,Surface,Position,33,2000000003,1501
45.95,39.39,23.52,um,Surface,Position,34,2000000003,1559
47.09,40.41,25.01,um,Surface,Position,35,2000000003,1617
146.62,109.99,2.17,um,Surface,Position,1,2000000004,4
147.35,109.88,3.47,um,Surface,Position,2,2000000004,40
147.26,109.22,4.27,um,Surface,Position,3,2000000004,77
146.84,108.87,5.75,um,Surface,Position,4,2000000004,114
146.51,109.3,7.08,um,Surface,Position,5,2000000004,155
146.02,109.28,7.79,um,Surface,Position,6,2000000004,196
145.03,109.16,8.12,um,Surface,Position,7,2000000004,238
145.16,109.29,8.94,um,Surface,Position,8,2000000004,279
144.57,109.05,9.1,um,Surface,Position,9,2000000004,320
143.48,109.83,9.52,um,Surface,Position,10,2000000004,362
142.7,110.44,9.85,um,Surface,Position,11,2000000004,405
141.63,110.58,10,um,Surface,Position,12,2000000004,446
140.23,110.37,10.8,um,Surface,Position,13,2000000004,489
137.99,111.54,11.83,um,Surface,Position,14,2000000004,533
135.74,113.28,13.29,um,Surface,Position,15,2000000004,578
133.49,113.64,15.4,um,Surface,Position,16,2000000004,628
131.9,114.01,17.81,um,Surface,Position,17,2000000004,677
131.4,115.09,19.21,um,Surface,Position,18,2000000004,722
130.69,116.21,20.74,um,Surface,Position,19,2000000004,769
130.51,117,21.84,um,Surface,Position,20,2000000004,817
130.31,117.93,22.36,um,Surface,Position,21,2000000004,864
130.61,118.62,20.9,um,Surface,Position,22,2000000004,911
130.96,119.6,19.62,um,Surface,Position,23,2000000004,960
130.7,121.4,21.61,um,Surface,Position,24,2000000004,1014
131.13,122.86,22.92,um,Surface,Position,25,2000000004,1063
132.04,123.95,24.28,um,Surface,Position,26,2000000004,1117
132.15,125.58,25.56,um,Surface,Position,27,2000000004,1169
132.08,127.57,27.76,um,Surface,Position,28,2000000004,1222
131.9,128.05,28.83,um,Surface,Position,29,2000000004,1277
131.98,128.59,28.9,um,Surface,Position,30,2000000004,1334
131.93,128.92,29.73,um,Surface,Position,31,2000000004,1390
132.05,129.93,30.65,um,Surface,Position,32,2000000004,1448
132.22,131.29,31.6,um,Surface,Position,33,2000000004,1505
132.81,132.1,32.29,um,Surface,Position,34,2000000004,1563
133.48,133.12,32.67,um,Surface,Position,35,2000000004,1620
134.26,134.47,34.2,um,Surface,Position,36,2000000004,1676
134.69,134.56,36.62,um,Surface,Position,37,2000000004,1731
134.57,134.66,38.5,um,Surface,Position,38,2000000004,1788
133.81,134.21,40.18,um,Surface,Position,39,2000000004,1846
132.85,133.75,41.86,um,Surface,Position,40,2000000004,1904
131.53,133.68,44.42,um,Surface,Position,41,2000000004,1963
129.85,132.81,46.17,um,Surface,Position,42,2000000004,2020
128.32,131.84,47.21,um,Surface,Position,43,2000000004,2078
126.71,131.05,49.83,um,Surface,Position,44,2000000004,2133
124.9,129.8,52.14,um,Surface,Position,45,2000000004,2191
123.32,129.18,54.05,um,Surface,Position,46,2000000004,2247
122.16,129.15,55.99,um,Surface,Position,47,2000000004,2306
121.59,129.27,57.09,um,Surface,Position,48,2000000004,2360
120.51,129.63,58.23,um,Surface,Position,49,2000000004,2419
119.4,129.9,59.07,um,Surface,Position,50,2000000004,2477
116.99,129.43,60.62,um,Surface,Position,51,2000000004,2534
115.92,129.15,61.82,um,Surface,Position,52,2000000004,2594
115.54,129.56,62.7,um,Surface,Position,53,2000000004,2653
115.76,129.44,62.71,um,Surface,Position,54,2000000004,2709
115.75,129.45,63.3,um,Surface,Position,55,2000000004,2762
115.72,129.32,63.85,um,Surface,Position,56,2000000004,2816
115.81,129.3,63.68,um,Surface,Position,57,2000000004,2869
116.51,129,63.06,um,Surface,Position,58,2000000004,2925
116.48,129.14,62.75,um,Surface,Position,59,2000000004,2981
116.57,129.38,63.04,um,Surface,Position,60,2000000004,3037
116.5,129.52,63.92,um,Surface,Position,61,2000000004,3096
116.62,129.88,64.34,um,Surface,Position,62,2000000004,3153
339,234.39,9.17,um,Surface,Position,1,2000000005,5
340.91,233.01,8.29,um,Surface,Position,2,2000000005,41
341.13,233.08,8.46,um,Surface,Position,3,2000000005,78
341.49,235.59,9.58,um,Surface,Position,4,2000000005,121
345.01,238.15,8.77,um,Surface,Position,5,2000000005,158
347.88,239.36,8.6,um,Surface,Position,6,2000000005,199
349.32,240.46,8.36,um,Surface,Position,7,2000000005,241
350.53,239.67,9.66,um,Surface,Position,8,2000000005,284
352.59,239.25,10.53,um,Surface,Position,9,2000000005,326
353.33,240.57,11.32,um,Surface,Position,10,2000000005,367
354.15,241.66,12.09,um,Surface,Position,11,2000000005,409
355.14,243.1,13,um,Surface,Position,12,2000000005,450
355.31,243.72,13.44,um,Surface,Position,13,2000000005,495
355.89,244.67,13.71,um,Surface,Position,14,2000000005,541
